Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-8.90867113616|-77.7225718533,ANCASH,HUAYLAS,SANTA CRUZ,HUARIPAMPA,4734
-8.84639792088|-77.9524953582,ANCASH,HUAYLAS,SANTO TORIBIO,SANTO TORIBIO,1151
-8.88606625771|-77.2203437719,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,PAMPACHACRA,1412
-8.96748087862|-77.4563733684,ANCASH,MARISCAL LUZURIAGA,LLUMPA,LLUMPA,6394
-8.9251518982|-77.4451790178,ANCASH,MARISCAL LUZURIAGA,LUCMA,LUCMA,2984
-9.34392930975|-77.4330014266,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,2557
-9.15442304448|-77.5647185946,ANCASH,CARHUAZ,SHILLA,SHILLA,3062
-9.25893942466|-77.6617969165,ANCASH,CARHUAZ,TINCO,TINCO,3731
-9.40408339387|-77.6309279603,ANCASH,CARHUAZ,YUNGAR,YUNGAR,3349
-9.2525110462|-76.9046714136,ANCASH,HUARI,ANRA,ANRA,1500
-10.3806157817|-77.3644246601,ANCASH,OCROS,OCROS,OCROS,1324
-10.5183039104|-77.3394575181,ANCASH,OCROS,ACAS,ACAS,708
-8.25811106235|-77.730644417,ANCASH,PALLASCA,CONCHUCOS,CONCHUCOS,8084
-8.33456846525|-77.9455976995,ANCASH,PALLASCA,HUANDOVAL,HUANDOVAL,1110
-8.51561783077|-78.0302880083,ANCASH,PALLASCA,LLAPO,LLAPO,629
-8.99221168172|-78.6092543544,ANCASH,SANTA,SANTA,SANTA,22213
-8.30020855434|-77.5607496401,ANCASH,SIHUAS,ACOBAMBA,ACOBAMBA,1740
-8.51213439454|-77.5300543845,ANCASH,SIHUAS,HUAYLLABAMBA,HUAYLLABAMBA,3865
-8.4547968178|-77.6960311883,ANCASH,SIHUAS,RAGASH,RAGASH,2521
-8.67163720616|-77.6204767713,ANCASH,SIHUAS,SAN JUAN,CHULLIN,6942
-8.63053217839|-77.5292840102,ANCASH,SIHUAS,SICSIBAMBA,UMBE,1583
-10.7823114482|-77.2677578441,LIMA,HUAURA,AMBAR,AMBAR,2459
-10.6216407015|-76.9919108709,LIMA,CAJATAMBO,GORGOR,GORGOR,1913
-6.95042145952|-79.8469587491,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,ETEN PUERTO,2513
-6.11808214887|-78.677110912,CAJAMARCA,CUTERVO,SANTO TOMAS,SANTO TOMAS,7783
-6.57058099467|-78.1870583055,CAJAMARCA,CELENDIN,CHUMUCH,CHUMUCH,2798
-6.3379655014|-78.5758046282,CAJAMARCA,CHOTA,ANGUIA,ANGUIA,3415
-6.48302789809|-78.852258717,CAJAMARCA,CHOTA,COCHABAMBA,COCHABAMBA,5948
-6.80427802477|-78.7338456811,CAJAMARCA,SAN MIGUEL,CATILLUC,CATILLUC,2937
-6.66400913929|-78.8097223663,CAJAMARCA,SANTA CRUZ,ANDABAMBA,ANDABAMBA,1338
-5.09655267717|-78.7152958853,CAJAMARCA,SAN IGNACIO,HUARANGO,HUARANGO,19348
-4.9160655277|-78.8318716783,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,SAN JOSE DE LOURDES,19982
-5.62569047241|-79.3124293881,CAJAMARCA,JAEN,SALLIQUE,SALLIQUE,7706
-5.87540999205|-79.1950256453,CAJAMARCA,JAEN,POMAHUACA,POMAHUACA,9298
-5.90106080464|-78.9794548085,CAJAMARCA,JAEN,COLASAY,COLASAY,10794
-5.92462140992|-78.7734447675,CAJAMARCA,CUTERVO,CHOROS,CHOROS,3342
-3.67174512185|-80.566401069,TUMBES,TUMBES,LA CRUZ,CALETA CRUZ,10559
-3.85174908373|-80.3563580213,TUMBES,TUMBES,PAMPAS DE HOSPITAL,PAMPAS DE HOSPITAL,7724
-3.65859091179|-80.3629188787,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,SAN JUAN DE LA VIRGEN,4983
-4.03383469299|-80.6592750152,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,CAÑAVERAL,2778
-3.76762693916|-80.2285396051,TUMBES,ZARUMILLA,MATAPALO,MATAPALO,3621
-6.10633982742|-78.8414459472,CAJAMARCA,CUTERVO,SANTA CRUZ,SANTA CRUZ,2801
-6.37006436027|-78.369042241,CAJAMARCA,CHOTA,CHOROPAMPA,CHOROPAMPA,2502
-6.53901769924|-79.1729058718,CAJAMARCA,CHOTA,LLAMA,LLAMA,7438
-6.35782734707|-79.302636843,CAJAMARCA,CHOTA,MIRACOSTA,MIRACOSTA,3374
-6.53392707869|-78.3980786556,CAJAMARCA,CHOTA,PACCHA,PACCHA,4750
-6.35221588311|-79.0929447328,CAJAMARCA,CHOTA,QUEROCOTO,QUEROCOTO,8881
